ID,IS_HCP,taxClass,TAXONOMY
115501,0,0,207R00000X
115502,0,1,2084N0400X
115503,1,2,2084N0400X
115504,0,3,207Q00000X
115505,0,4,2084P0800X
115506,0,5,2084P0800X
115507,0,6,2085R0203X
115508,1,7,2084N0400X
115509,0,8,174400000X
115510,0,9,207Q00000X
115511,0,10,207RP1001X
115512,0,11,208000000X
115513,0,12,207L00000X
115514,0,13,207R00000X
115515,0,9,207Q00000X
115516,0,14,207W00000X
115517,0,0,207R00000X
115518,0,15,207RG0100X
115519,0,0,207R00000X
115520,0,16,2084P0800X
115521,1,17,2084P0800X
115522,0,18,207R00000X
115523,0,19,2084N0400X
115524,0,20,2084P0800X
115525,0,21,2084N0400X
115526,0,20,2084P0800X
115527,0,22,2084N0400X
115528,0,23,207RI0200X
115529,0,24,2084N0400X
115530,1,25,2084P0800X
115531,0,20,2084P0800X
115532,0,26,2084P0800X
115533,0,15,207RG0100X
115534,0,15,207RG0100X
115535,0,27,208M00000X
115536,0,28,2084N0400X
115537,1,29,207R00000X
115538,0,30,2084P0800X
115539,0,11,208000000X
115540,0,3,207Q00000X
115541,0,31,2084N0400X
115542,0,32,2084P0800X
115543,0,33,2084P0800X
115544,0,34,207RG0100X
115545,0,35,363LP0200X
115546,0,3,207Q00000X
115547,0,19,2084N0400X
115548,0,36,207RC0000X
115549,0,16,2084P0800X
115550,0,37,363A00000X
115551,0,0,207R00000X
115552,0,38,207RE0101X
115553,0,11,208000000X
115554,0,39,207Q00000X
115555,0,40,208000000X
115556,0,41,2084N0402X
115557,1,42,2084N0400X
115558,0,15,207RG0100X
115559,0,43,2084N0400X
115560,0,44,2084F0202X
115561,0,0,207R00000X
115562,0,11,208000000X
115563,0,45,2084N0400X
115564,1,46,2084N0400X
115565,1,47,2084N0600X
115566,0,48,2084P0800X
115567,0,49,208000000X
115568,0,50,2084N0400X
115569,1,51,2084B0040X
115570,1,52,207Q00000X
115571,0,27,208M00000X
115572,0,49,208000000X
115573,0,3,207Q00000X
115574,0,9,207Q00000X
115575,0,53,207R00000X
115576,0,54,2084N0400X
115577,0,55,2084N0400X
115578,1,56,207Q00000X
115579,1,57,363L00000X
115580,1,58,2084P0800X
115581,1,59,2084N0402X
115582,1,60,2084N0400X
115583,0,3,207Q00000X
115584,0,61,2084N0400X
115585,1,62,2084N0400X
115586,0,0,207R00000X
115587,0,63,2084N0400X
115588,0,64,207K00000X
115589,0,15,207RG0100X
115590,1,65,2084N0400X
115591,1,2,2084N0400X
115592,0,0,207R00000X
115593,0,16,2084P0800X
115594,0,0,207R00000X
115595,0,28,2084N0400X
115596,1,66,174400000X
115597,1,67,207RH0003X
115598,0,68,207Q00000X
115599,0,69,207R00000X
115600,0,70,207RC0000X
115601,0,71,174400000X
115602,0,72,2084N0400X
115603,0,0,207R00000X
115604,0,3,207Q00000X
115605,1,73,207RP1001X
115606,0,15,207RG0100X
115607,1,29,207R00000X
115608,1,74,2084F0202X
