ID,USERZIPCODE,PLATFORMTYPE,URL,KEYWORDS,TAXONOMY,IS_HCP
78384,19146,'Online Medical Journal',https://www.neurologyadvisor.com/conference-highlights/mds-2021/safety-and-efficacy-of-venglustat-assessed-in-gba-gene-carriers-with-parkinson-disease/,'Controlled|Medicine|Central Nervous System Infections|Sleep Disorders|Neurology|Clinical|Insomnia|Cardiology|Nervous System|Oncology|Total|General|Urology|False',2084P0800X,1
47005,30907,'Online Medical Journal',https://www.clinicaladvisor.com/home/features/derm-dx/,Asthma|Arthritis|General|Clinical|Diagnosis|Rheumatoid|Dermatology|Surgery|Health|Oncology|Pediatrics|Psychiatry|Cardiology|False|Neurology|Medicine|Cardiovascular|Ophthalmology|Rheumatology|Urology|Hepatology|Gastroenterology|Orthopedics,2084P0800X,1
65185,27703,'Online Medical Journal',https://www.cureus.com/articles/111166-the-efficacy-of-compression-stockings-on-patients-with-nocturia-a-single-arm-pilot-study,'General Practice|Elderly|Small|Preventive Medicine|Hospitals|Emergency Medicine|Health|Clinical|False|Trauma|Dermatology|Physical Medicine & Rehabilitation|Congestive Heart Failure|Resuscitation|Diabetes Mellitus|General|Technology|Pathology|Male|Ophthalmology|Hematology|Specialties|Apnea|Transplantation|Dentistry|Preventive|Female|Total|Neurological Surgery|Orthopedics|Hypersensitivity|Lymphedema|Surgical|Nuclear Medicine|Otolaryngology|Pediatrics|Rheumatology|Sone|Heart Failure|Anxiety Disorders|Rehabilitation|Cardiac|Anesthesiology|Gastroenterology|Neurology|congestive heart failure|Medicine|Aged|Oral|Cardiology|Psychiatry|Surgery|Urology|Critical Care|Hypotension|Controlled|Large|Oncology',2084N0400X,1
57807,32607,'Online Medical Journal',https://www.cureus.com/articles/110823-the-musculoskeletal-manifestations-of-covid-19-a-narrative-review-article/metrics,'Dentistry|False|Trauma|Anesthesiology|Cardiology|Neurological Surgery|Emergency Medicine|Transplantation|Pathology|Surgery|General Practice|Arthralgia|Specialties|Dermatology|Gastroenterology|Ophthalmology|Pediatrics|Psychiatry|Medicine|Technology|Total|Preventive|Nuclear Medicine|General|Small|Neurology|Health|Rehabilitation|Orthopedics|Otolaryngology|Preventive Medicine|Cardiac|Clinical|Rheumatology|Urology|Resuscitation|Surgical|Oral|Oncology|Physical Medicine & Rehabilitation',2084N0400X,1
105955,50322,'Online Medical Journal',https://www.renalandurologynews.com/home/news/urology/prostate-cancer/survival-outcomes-in-gleason-9-10-pca-similar-with-radiation-surgery/,Cardiovascular|Clinical|Rheumatology|Transplantation|Total|Medicine|General|Cardiology|Neurology|Oncology|Ophthalmology|Surgery|Premature|Biopsy|Anemia|Nephritis|Psychiatry|False|Chronic|Reproductive|Gastroenterology|Health|Dermatology|Urology,207Q00000X,1
49812,2905,'Online Medical Journal',https://www.dermatologyadvisor.com/home/decision-support-in-medicine/dermatology/cellulitis-and-erysipelis/,'Controlled|Clinical|Oral|Total|Nuclear Medicine|Surgery|Arthritis|Drainage|Intravenous|Lymphatic System|Anti-Inflammatory Agents|Joints|Health|Dental|Surgical|Ophthalmology|Diabetes Mellitus|Physicians|Allergic|Cardiology|Gastroenterology|Psychiatry|Rheumatology|Urology|Antibiotic Prophylaxis|Biopsy|Diagnosis|Chronic|Neurology|Dermatitis|Angioedema|General|Hemolytic|Large|False|Trauma|Dermatology|Medicine|Erythema|Liver|Abscess|Lymphedema|Small|Oncology|Shock|Fasciitis|Cellulitis|Debridement',2084P0800X,1
30424,3110,'Online Medical Journal',https://www.clinicalpainadvisor.com/decision-support-in-medicine/anesthesiology/vocal-cord-polypectomy/,'Bradycardia|General|Diagnosis|Chronic|Laser|Intubation|Heart Failure|Tachycardia|Pharynx|Endotracheal|Apnea|Surgical|Cardiology|Urology|Neuromuscular Blockade|Angiotensin|Cardiac|Total|Diabetes Mellitus|Arrhythmia|Endocrine|Surgery|Cysts|Technology|Operative|Atrial Fibrillation|Endotracheal Intubation|Allergic|Cardiovascular|Arrhythmias|Small|Medicine|Anesthesia|Myocardial Ischemia|Intravenous|Clinical|Ruptured|False|Trauma|Male|Heart Block|Asthma',2084P0800X,1
108402,20007,'Online Medical Journal',https://www.cureus.com/publish/articles/141170-bilateral-vocal-fold-paralysis-in-a-patient-with-neurosarcoidosis-a-case-report-of-an-unusual-presentation/reviewers/edit,'small|covid|nephrology|radiology|preventive medicine|internal medicine|oncology|forensic medicine|general|specialties|trauma|pain|disease|health|covid-19|pain management|acos|cardiology|preventive|the|clinical|hematology|proton therapy|dermatology|transplantation|pediatrics|urology|sports medicine|diabetes|cardiac|surgery|',122300000X,1
54173,20832,'Online Medical Journal',https://www.renalandurologynews.com/home/decision-support-in-medicine/nephrology-hypertension/medical-management-of-the-dialysis-patient-hypercalcemia/,General|Chronic|Total|Cardiology|Gastroenterology|Rheumatology|Medicine|Cardiovascular|Oncology|Arrhythmias|Clinical|Surgery|Surgical|Nephritis|Dermatology|Neurology|Bradycardia|Ophthalmology|Psychiatry|Health|Transplantation|Premature|Anemia|False|Reproductive|Urology|Diagnosis,207RH0003X,1
90730,77056,'Online Medical Journal',https://www.gastroenterologyadvisor.com/general-gastroenterology/patient-factors-associated-with-appendectomy-within-30-days-of-antibiotics/?utm_source=google&utm_medium=ppc&utm_campaign=jan22-traffic-drivers-gastro&gclid=EAIaIQobChMI-_GjrdO6-QIVDtlbCh39ngCOEAEYASAAEgL3d_D_BwE,'Biliary Tract|Stomach|Metabolic|Neoplasms|Oncology|Anxiety Disorders|Surgery|Dermatology|Gastroenterology|Psychiatry|Liver|Clinical|Transplantation|Hepatic Transplantation|General|Total|Ophthalmology|Rheumatology|Sleep Disorders|Esophagus|Cardiology|False|Urology|Chronic|Neurology|Medicine|Pancreas',2084P0800X,1
